"","X","McAllister.LTS.MD10","McAllister.LTS.MD11","McAllister.LTS.MD12","McAllister.LTS.MD13","McAllister.LTS.MD14","McAllister.LTS.MD15","McAllister.LTS.MD16","McAllister.LTS.MD17","McAllister.LTS.MD18","McAllister.LTS.MD19","McAllister.LTS.MD2","McAllister.LTS.MD20","McAllister.LTS.MD21","McAllister.LTS.MD3","McAllister.LTS.MD4","McAllister.LTS.MD5","McAllister.LTS.MD6","McAllister.LTS.MD7","McAllister.LTS.MD8","McAllister.LTS.MD9","McAllister.STS.MD1","McAllister.STS.MD10","McAllister.STS.MD11","McAllister.STS.MD12","McAllister.STS.MD13","McAllister.STS.MD14","McAllister.STS.MD15","McAllister.STS.MD16","McAllister.STS.MD17","McAllister.STS.MD18","McAllister.STS.MD19","McAllister.STS.MD2","McAllister.STS.MD20","McAllister.STS.MD21","McAllister.STS.MD22","McAllister.STS.MD3","McAllister.STS.MD4","McAllister.STS.MD5","McAllister.STS.MD6","McAllister.STS.MD7","McAllister.STS.MD8","McAllister.STS.MD9"
"540","Zotu.0542",0,2,2,0,0,1,2,2,1,0,0,1,0,0,0,1,1,0,1,0,2,0,1,0,0,0,1,1,2,2,2,1,1,1,2,2,1,3,1,0,0,2
"541","Zotu.0543",0,1,2,1,2,4,0,1,1,0,1,0,0,1,0,1,0,0,0,2,1,0,0,1,2,2,1,0,0,1,0,1,0,2,1,0,3,0,1,4,2,1
"542","Zotu.0544",2,0,0,2,6,1,1,0,0,4,1,1,1,0,1,2,0,4,0,1,0,2,1,1,1,0,0,1,2,2,1,1,0,1,0,1,1,1,1,1,1,1
"543","Zotu.0545",0,1,1,2,1,1,2,0,2,3,0,0,1,1,0,1,0,1,2,1,1,0,1,2,0,0,0,3,1,1,1,2,1,1,2,1,1,3,0,4,1,0
"544","Zotu.0546",0,0,2,2,1,1,2,2,1,2,3,0,1,0,1,1,0,1,2,4,2,1,1,1,0,0,0,1,1,2,1,1,2,1,0,0,0,1,1,0,0,0
"545","Zotu.0547",0,2,2,4,1,0,1,2,1,0,0,2,1,0,0,0,0,0,0,0,1,1,3,1,2,1,1,1,3,1,1,0,0,1,1,0,1,0,0,1,2,0
"546","Zotu.0548",0,2,0,0,5,2,0,2,1,1,0,0,2,1,0,0,1,2,0,4,2,2,2,0,0,1,1,3,2,2,0,1,1,1,2,2,1,1,1,1,1,2
"547","Zotu.0549",0,2,1,0,1,1,0,0,2,1,0,0,0,0,1,0,1,0,1,1,1,0,5,2,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,2
"548","Zotu.0550",1,0,0,2,1,0,1,1,0,1,2,3,1,2,2,1,1,0,1,1,0,1,0,1,0,0,2,0,1,1,1,2,1,1,1,1,0,0,0,1,2,0
"549","Zotu.0551",3,2,1,2,0,1,0,0,0,1,1,2,1,1,1,1,3,0,0,2,0,1,0,1,2,2,2,0,1,2,4,3,0,1,1,2,3,2,1,0,1,1
"550","Zotu.0552",2,2,1,2,0,1,1,0,0,2,1,0,0,1,2,2,0,2,2,0,1,0,2,2,2,3,0,3,2,0,2,2,0,1,0,0,0,2,1,3,0,1
"551","Zotu.0553",0,1,0,0,0,1,1,0,1,0,0,2,1,1,2,1,0,0,1,0,1,2,2,0,1,4,0,0,2,2,1,2,0,3,0,0,1,1,1,3,0,3
"552","Zotu.0554",2,1,2,0,1,0,0,0,0,1,0,3,0,1,0,0,2,1,2,1,1,0,0,1,2,3,1,0,4,2,1,1,2,0,1,3,1,1,1,2,3,0
"553","Zotu.0555",1,0,1,0,1,2,0,2,1,2,0,2,3,1,2,1,0,0,0,0,5,0,1,1,2,0,0,1,1,0,0,1,1,0,0,1,1,2,0,0,1,1
"554","Zotu.0556",1,2,0,0,1,0,2,1,1,2,0,2,3,2,1,1,2,1,0,0,1,1,0,1,1,0,0,1,0,4,0,0,2,0,1,0,0,0,1,0,0,0
"555","Zotu.0557",2,1,1,1,1,0,4,0,0,1,0,1,1,1,1,3,0,1,1,1,0,1,3,0,2,2,0,0,0,4,1,0,3,2,1,2,1,0,1,1,1,2
"556","Zotu.0558",0,1,0,1,0,0,1,0,1,0,2,1,2,2,1,0,2,1,0,1,0,0,0,3,4,1,1,0,1,3,1,2,2,2,0,2,1,2,1,1,0,1
"557","Zotu.0559",1,3,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,3,1,1,0,3,1,0,0,0,1,1,3,0,0,1,3,0,4,1,1
"558","Zotu.0560",3,0,1,0,0,1,1,0,3,0,1,2,1,0,1,0,1,2,0,2,1,1,0,1,0,2,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0
"559","Zotu.0561",1,2,0,1,2,2,2,2,3,2,0,2,0,0,0,1,0,0,0,1,1,3,2,0,2,1,2,1,0,0,1,1,0,0,0,3,1,0,0,1,3,1
"560","Zotu.0562",0,0,0,0,1,0,2,1,2,1,3,1,0,1,0,1,1,1,3,1,1,2,1,0,1,1,2,1,0,2,1,0,4,1,3,1,2,1,1,0,3,1
"561","Zotu.0563",2,1,1,2,0,0,2,1,1,0,0,3,1,1,0,2,0,1,2,0,0,3,2,1,3,1,1,0,1,0,2,3,1,2,0,2,3,2,3,1,1,0
"562","Zotu.0564",2,1,1,0,3,1,1,2,2,1,2,1,1,2,2,0,0,1,1,3,1,1,1,0,1,1,1,2,0,0,2,0,0,1,2,0,0,2,3,0,2,4
"563","Zotu.0565",1,1,1,2,1,0,0,1,0,4,0,0,1,0,0,2,2,0,3,0,1,0,0,0,2,2,0,2,0,1,0,3,0,1,1,0,3,2,2,0,1,0
"564","Zotu.0566",2,1,1,1,2,2,2,0,1,2,1,1,0,2,3,1,1,1,1,2,1,2,1,1,2,0,0,3,0,1,1,1,2,1,3,1,1,3,1,1,0,1
"565","Zotu.0567",1,2,1,1,3,2,1,2,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,1,0,3,0,1,2,0,1,1,1,0,0,2,0,1,2,2,0,1
"566","Zotu.0568",1,0,1,2,2,2,0,1,0,0,0,3,3,0,3,1,1,4,3,0,1,2,2,1,0,2,3,1,0,1,0,1,0,0,1,0,0,0,3,2,0,1
"567","Zotu.0569",1,1,0,0,3,0,0,0,2,3,1,1,1,0,0,0,1,0,1,0,2,1,0,3,0,0,1,0,1,0,2,1,0,1,0,2,1,0,0,2,2,0
"568","Zotu.0570",3,0,1,2,0,2,2,2,0,4,2,2,2,0,0,1,1,0,1,0,1,1,2,0,0,3,0,0,1,0,1,0,1,1,2,0,0,2,1,0,0,0
"569","Zotu.0571",1,2,0,0,1,0,0,1,0,1,0,0,0,3,2,0,0,1,0,0,0,3,0,0,3,2,1,3,3,0,0,1,2,2,1,1,1,1,1,2,3,1
"570","Zotu.0572",3,1,1,0,1,1,0,0,1,1,1,0,2,0,1,2,0,1,1,0,3,1,0,0,2,3,0,0,1,0,3,0,1,0,0,0,1,0,2,1,1,1
"571","Zotu.0573",0,0,3,0,2,1,1,0,0,1,1,0,4,0,0,1,1,0,2,1,0,1,1,3,1,0,0,0,1,0,0,1,3,1,1,3,0,0,1,0,2,1
"572","Zotu.0574",1,1,0,1,1,0,0,0,1,1,1,1,3,0,0,1,0,0,2,2,3,1,3,1,0,2,1,0,1,1,0,0,1,1,0,2,2,0,0,2,2,0
"573","Zotu.0575",2,1,0,0,1,0,0,1,1,3,0,0,0,1,2,0,0,0,1,2,1,0,0,1,1,1,1,0,2,0,2,1,0,1,1,1,0,0,0,2,0,3
"574","Zotu.0576",1,0,1,3,2,2,0,1,1,1,1,0,1,1,2,1,0,2,1,2,0,1,0,0,1,0,0,0,1,3,1,1,1,0,0,0,1,2,1,1,2,1
"575","Zotu.0577",2,1,0,0,2,0,2,0,0,0,1,0,0,1,2,1,3,1,1,0,2,2,0,1,1,1,1,3,0,1,0,2,2,0,0,0,1,1,3,1,0,2
"576","Zotu.0578",3,1,0,1,1,0,1,1,2,0,1,0,0,2,0,0,0,0,1,2,0,4,0,0,1,1,0,2,0,1,1,1,0,2,1,1,1,1,2,0,1,2
"577","Zotu.0579",1,1,0,0,0,0,2,2,0,0,0,0,2,0,2,1,1,1,3,2,0,1,1,0,1,2,1,2,2,2,0,0,3,1,3,1,0,1,2,1,1,0
"578","Zotu.0580",0,2,0,3,1,2,1,0,1,0,2,3,0,0,0,1,0,1,0,4,0,1,1,1,1,0,0,1,1,0,4,1,2,1,1,1,0,2,1,0,0,1
"579","Zotu.0581",1,1,0,0,1,2,1,0,3,1,2,2,2,1,2,0,2,2,1,1,1,1,1,2,0,0,0,1,2,1,0,0,1,1,1,1,1,2,0,1,1,1
"580","Zotu.0582",0,3,2,2,0,1,1,2,2,0,3,1,1,1,1,0,2,1,2,1,1,1,0,3,1,1,1,0,1,1,1,0,2,1,0,2,1,0,1,0,0,2
"581","Zotu.0583",2,0,0,0,0,0,1,0,1,0,3,1,4,1,0,2,1,0,0,0,0,1,0,1,1,0,1,1,0,2,1,1,2,1,0,4,1,0,0,0,0,1
"582","Zotu.0584",3,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,2,0,1,0,1,1,0,0,0,0,0,1,0,0,2,1,0,1,1,1,1,0,0,0,0,2
"583","Zotu.0585",1,1,1,3,3,1,0,0,0,3,1,2,0,0,0,0,2,1,3,0,1,0,0,0,1,1,0,0,3,2,3,2,2,2,0,2,0,1,2,3,0,0
"584","Zotu.0586",2,1,1,0,0,2,2,1,2,1,3,0,1,1,2,0,0,2,2,1,1,3,0,1,0,1,1,2,3,1,1,1,1,2,0,0,2,1,2,1,0,2
"585","Zotu.0587",0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,2,2,0,1,1,0,2,1,0,3,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,2
"586","Zotu.0588",1,0,1,1,0,1,3,2,0,2,0,0,0,1,2,1,1,0,1,1,0,3,0,0,0,0,1,1,0,2,0,0,1,0,1,0,1,1,1,0,0,1
"587","Zotu.0589",2,2,3,0,0,1,0,3,0,1,1,1,2,2,0,1,1,1,0,2,0,2,0,0,0,0,0,2,1,2,1,2,0,0,2,1,2,0,1,1,0,3
"588","Zotu.0590",1,2,0,0,2,1,1,1,1,3,1,2,1,1,2,0,2,0,0,1,0,1,1,0,1,3,1,0,0,0,1,1,1,0,0,2,2,0,0,2,3,0
"589","Zotu.0591",0,1,1,0,2,1,0,1,1,0,0,0,1,0,2,0,0,2,0,1,1,1,3,2,1,1,2,2,0,2,0,0,1,0,1,1,0,0,0,0,1,0
"590","Zotu.0592",1,0,3,3,0,2,0,0,0,4,1,0,0,1,3,1,2,2,3,0,1,6,2,1,0,0,2,0,0,0,1,1,2,0,3,1,1,3,1,0,1,2
"591","Zotu.0593",1,0,1,0,0,0,0,2,0,1,0,4,1,0,0,1,3,2,1,0,2,0,1,1,0,4,1,0,0,2,4,0,2,1,2,3,0,3,1,1,0,2
"592","Zotu.0594",0,0,0,2,0,0,2,0,0,0,2,1,0,1,1,0,2,2,1,3,1,0,0,4,0,0,1,1,2,1,1,0,0,1,1,2,3,0,1,0,1,1
"593","Zotu.0595",0,3,0,0,1,0,0,0,1,0,1,0,3,0,0,2,0,2,1,2,1,2,2,4,1,2,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
"594","Zotu.0596",3,0,0,0,3,0,0,1,1,1,0,1,2,1,0,1,0,1,1,1,0,0,1,0,0,2,2,2,1,2,0,2,0,3,3,1,1,1,3,0,0,1
"595","Zotu.0597",3,0,0,1,3,1,1,3,1,1,2,4,0,1,0,0,2,1,2,1,1,2,2,0,1,1,1,1,1,1,1,0,1,2,0,0,0,2,0,1,2,0
"596","Zotu.0598",0,1,1,0,0,1,0,0,2,1,0,0,2,1,0,1,0,0,2,0,1,1,1,0,1,2,2,1,1,2,5,0,1,2,1,0,0,1,0,3,1,0
"597","Zotu.0599",1,0,0,0,0,0,2,2,1,2,0,1,0,0,2,2,1,1,1,0,1,3,1,0,0,1,1,1,0,1,2,3,0,0,1,0,1,1,2,0,1,2
"598","Zotu.0600",1,1,1,1,2,4,2,1,0,0,0,1,2,2,1,0,0,0,0,1,1,0,3,0,1,1,0,0,1,1,1,1,0,4,2,0,1,2,0,2,0,1
"599","Zotu.0601",1,0,0,1,0,1,1,3,1,1,1,1,1,3,1,2,2,2,1,1,0,2,0,1,2,2,1,1,1,0,0,0,1,0,0,1,2,2,0,1,0,3
"600","Zotu.0602",1,0,0,1,0,2,0,4,0,0,1,2,1,1,2,0,1,3,1,1,1,0,1,0,2,4,1,0,1,1,0,4,0,0,1,1,2,2,1,0,0,0
"601","Zotu.0603",0,0,1,2,3,3,0,1,1,2,0,0,0,0,1,1,1,1,0,2,1,1,2,1,1,2,1,0,0,1,3,0,3,1,1,0,2,2,1,1,1,3
"602","Zotu.0604",1,0,2,1,1,1,1,1,1,1,2,0,2,1,2,1,0,2,3,1,1,0,0,2,2,2,2,1,0,1,0,2,0,0,2,0,1,0,2,1,1,1
"603","Zotu.0605",2,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,2,2,2,0,1,2,0,2,2,1,1,2,0,1,0,1
"604","Zotu.0607",2,3,0,1,3,1,1,1,1,3,0,1,1,1,0,0,1,0,1,1,2,0,1,0,2,1,0,0,0,2,0,2,0,0,2,1,0,0,1,0,0,2
"605","Zotu.0608",2,0,0,2,0,3,0,1,0,2,0,1,2,2,0,2,0,2,1,1,1,0,0,3,1,0,0,3,2,1,1,0,1,0,1,1,1,3,0,2,0,2
"606","Zotu.0609",1,1,0,1,0,1,1,2,0,0,0,0,2,2,1,1,1,2,0,0,1,2,1,1,0,0,0,0,3,2,2,0,1,0,2,0,1,2,2,0,1,1
"607","Zotu.0610",1,1,1,2,1,1,1,2,1,1,0,0,3,0,2,2,0,0,0,3,1,0,0,3,4,4,1,1,3,1,0,1,2,0,1,0,2,4,2,1,4,1
"608","Zotu.0611",1,2,2,0,1,2,1,1,1,2,1,0,1,0,1,1,0,0,0,1,1,0,2,0,2,3,1,0,1,2,2,1,0,1,1,3,1,0,1,0,1,0
"609","Zotu.0612",0,0,0,3,1,2,1,1,1,1,2,0,1,0,1,1,0,1,1,0,0,2,1,3,1,2,1,1,1,0,0,0,1,0,2,0,0,2,0,0,0,0
"610","Zotu.0613",0,1,1,4,0,0,3,0,2,2,1,0,1,2,0,0,0,1,0,1,0,0,1,1,1,0,2,0,0,1,4,1,0,1,0,0,0,0,2,1,0,2
"611","Zotu.0614",1,1,1,4,1,1,0,1,0,1,0,0,1,0,0,0,2,1,3,0,0,1,1,5,1,0,1,0,0,0,2,0,1,3,0,1,0,1,0,0,1,1
"612","Zotu.0615",1,0,1,4,0,1,2,1,0,0,4,0,0,0,3,2,0,0,0,1,2,2,1,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,2,3
"613","Zotu.0616",2,1,2,1,3,2,3,1,0,1,3,1,1,1,1,2,2,0,3,0,0,0,0,0,1,0,1,1,0,1,1,1,1,2,2,1,3,0,4,0,1,2
"614","Zotu.0617",0,1,0,2,2,1,2,3,2,2,0,1,1,2,0,3,0,0,2,1,1,4,3,1,1,2,0,1,0,1,1,0,0,3,0,0,0,1,0,1,1,1
"615","Zotu.0618",1,0,1,0,1,0,2,0,0,1,1,0,0,1,0,3,0,1,2,2,0,0,2,2,2,2,1,0,0,1,1,0,1,1,0,3,1,1,2,0,0,0
"616","Zotu.0619",1,2,1,1,1,1,1,0,1,1,3,0,0,0,2,0,0,1,3,1,1,1,0,0,0,0,1,2,4,2,2,1,1,2,0,2,3,0,0,1,0,0
"617","Zotu.0620",2,1,1,2,0,2,2,3,1,0,1,3,1,2,0,0,1,0,1,1,3,0,1,0,1,1,0,0,2,2,0,0,1,1,0,2,2,2,0,1,1,0
"618","Zotu.0621",1,2,3,1,0,1,0,2,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,2,2,0,0,2,0,0,2,0,3,1,0,0,2,1
"619","Zotu.0622",2,1,1,1,0,2,2,1,0,0,2,2,0,1,2,2,1,0,0,2,1,0,1,0,1,0,3,0,1,1,0,1,0,0,1,0,1,1,2,0,1,3
"620","Zotu.0623",1,1,1,0,2,0,1,0,0,3,0,2,0,1,2,3,0,0,1,1,1,2,1,1,2,2,0,2,2,2,1,2,1,0,0,2,2,1,1,0,0,2
"621","Zotu.0624",1,0,0,2,0,0,0,2,1,4,2,2,2,1,1,0,3,1,1,0,0,1,1,1,0,0,2,1,2,2,1,3,2,2,0,2,0,1,0,3,2,1
"622","Zotu.0625",1,1,0,0,1,2,0,1,2,0,1,0,3,3,0,3,0,1,0,0,1,1,1,0,0,0,2,2,2,1,1,0,1,0,0,0,2,0,1,1,2,0
"623","Zotu.0626",2,2,1,1,1,3,0,3,1,2,0,1,0,1,1,2,2,1,2,4,1,0,0,0,1,0,2,0,2,0,3,1,0,3,3,1,2,0,1,1,0,0
"624","Zotu.0627",1,1,1,0,0,1,1,0,2,1,1,1,3,1,0,1,2,0,0,0,0,3,2,0,0,2,0,0,2,0,1,1,0,1,2,0,1,0,1,2,0,1
"625","Zotu.0628",2,3,2,0,0,0,0,0,0,2,0,1,1,1,0,0,1,1,0,0,1,1,5,1,0,0,0,0,2,1,0,4,3,4,2,1,1,2,0,0,0,0
"626","Zotu.0629",0,2,2,0,0,0,0,2,1,0,0,1,1,1,1,2,0,3,2,0,2,0,0,0,1,1,1,0,0,1,2,1,1,1,2,1,1,0,1,1,1,1
"627","Zotu.0630",3,1,0,0,1,0,0,0,2,1,0,0,0,0,1,2,0,0,1,0,2,1,1,3,1,1,0,0,0,0,1,0,1,1,2,0,1,0,1,1,1,0
"628","Zotu.0631",0,3,3,1,1,0,1,0,1,2,2,2,1,2,0,1,0,3,2,1,2,5,2,1,3,0,1,0,1,1,1,0,1,1,2,0,2,1,0,1,0,0
"629","Zotu.0632",0,0,1,0,1,1,1,3,2,1,0,1,2,1,0,4,4,0,0,2,1,1,0,1,1,1,2,0,1,0,1,2,2,2,1,0,2,0,0,0,3,1
"630","Zotu.0633",1,1,0,2,0,2,0,0,1,0,0,2,0,0,1,1,0,1,2,2,1,1,0,0,0,0,1,0,0,1,1,4,3,0,2,0,1,1,0,0,2,0
"631","Zotu.0634",2,0,1,0,2,2,0,1,3,0,1,1,1,1,0,2,1,3,1,3,2,1,2,0,0,0,3,0,1,0,0,1,1,4,2,2,0,0,1,1,2,1
"632","Zotu.0635",2,1,0,0,2,0,2,1,1,1,0,3,1,5,1,1,3,1,0,2,1,2,1,1,0,1,0,0,1,3,0,2,1,0,1,1,3,0,2,1,0,1
"633","Zotu.0636",0,1,0,0,1,0,1,0,0,1,1,0,2,3,2,2,0,1,2,0,1,1,3,1,0,2,0,1,2,1,1,2,0,2,5,0,0,1,0,1,2,3
"634","Zotu.0637",2,1,0,0,1,1,0,2,2,0,2,1,0,0,0,1,0,0,0,0,2,0,2,1,4,0,0,1,3,1,3,1,1,0,0,2,0,0,2,0,2,1
"635","Zotu.0638",0,3,2,2,1,0,2,3,1,1,1,0,1,1,0,2,3,4,1,1,1,1,0,2,1,1,1,3,2,1,1,1,2,0,0,2,0,0,1,2,0,1
"636","Zotu.0639",0,1,1,1,1,1,1,2,1,1,2,4,1,0,1,1,0,0,1,0,0,1,2,2,1,2,2,0,3,0,0,2,3,1,1,1,1,1,2,0,0,2
"637","Zotu.0640",1,1,0,0,0,0,1,0,0,1,3,0,1,1,1,0,0,1,1,2,3,2,2,1,0,0,1,1,4,0,1,4,1,0,1,0,1,1,2,0,1,0
"638","Zotu.0641",0,0,1,0,3,1,1,0,1,0,0,1,3,0,1,0,0,0,0,1,1,1,3,2,1,0,2,1,2,2,2,1,0,1,0,2,1,2,2,2,4,1
"639","Zotu.0642",0,1,1,1,3,0,0,3,0,3,1,4,1,1,0,1,1,1,1,1,1,0,0,1,0,3,2,1,0,1,1,1,2,1,0,1,1,3,0,0,1,1
"640","Zotu.0643",0,0,0,0,1,3,1,2,1,0,0,0,1,2,1,0,2,1,1,0,0,0,1,1,1,0,2,2,0,3,2,1,1,0,1,2,0,0,0,0,2,0
"641","Zotu.0644",0,1,2,0,0,1,2,0,0,2,0,1,1,0,1,0,1,3,1,0,1,0,0,0,0,0,1,0,1,0,0,1,2,1,3,1,3,0,0,2,0,0
"642","Zotu.0645",1,1,0,2,1,3,0,2,1,2,0,0,0,1,5,0,0,0,0,1,1,0,1,1,0,2,2,0,1,1,2,3,2,4,2,2,2,0,1,1,1,0
"643","Zotu.0646",0,1,0,2,3,0,1,1,1,1,1,1,3,1,2,0,1,2,1,2,1,0,5,0,1,0,1,0,3,1,2,0,3,0,0,0,2,1,0,3,2,2
"644","Zotu.0647",2,0,1,2,0,0,0,0,2,2,1,0,0,1,0,2,2,1,0,1,0,0,1,0,1,1,3,0,0,2,3,0,1,0,1,1,1,1,3,1,2,0
"645","Zotu.0648",0,1,0,1,0,0,1,0,1,3,1,0,3,0,3,2,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0
"646","Zotu.0649",0,0,1,1,0,1,0,0,2,1,2,2,0,2,1,2,0,2,0,0,0,3,1,0,0,0,0,4,3,1,1,1,1,0,1,2,2,1,1,0,0,1
"647","Zotu.0650",1,3,0,2,0,2,0,0,3,1,1,0,1,1,1,0,3,1,0,1,3,3,1,1,1,0,0,1,0,0,2,2,1,0,3,0,2,1,0,0,0,3
"648","Zotu.0651",1,1,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,2,1,0,2,0,0,2,1,0,3,1,3,1,0,3,1,0,1,1,1,0,0,0,1,1
"649","Zotu.0652",1,1,2,0,0,1,1,0,1,2,0,1,1,2,0,0,1,1,2,4,0,2,0,0,1,0,1,0,1,0,2,1,4,0,0,1,0,4,1,0,0,1
"650","Zotu.0653",0,2,1,1,1,1,0,1,0,2,0,3,2,2,2,1,1,1,2,0,0,0,0,2,1,2,1,1,2,2,0,1,1,0,0,0,0,0,4,1,1,1
"651","Zotu.0654",2,1,3,0,1,4,1,1,1,0,1,0,0,0,2,0,1,2,0,1,2,0,3,1,1,1,2,1,1,0,0,3,0,1,1,1,2,1,2,3,0,2
"652","Zotu.0655",4,2,1,2,0,0,1,0,1,1,1,3,1,1,1,0,1,4,0,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,2,2,3,0,1
"653","Zotu.0656",0,0,0,0,0,0,0,1,1,0,3,3,2,1,0,1,2,2,2,3,1,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,2,1,1
"654","Zotu.0657",0,2,0,1,3,0,0,1,2,2,1,0,1,0,2,0,1,0,1,2,2,1,0,0,0,1,1,1,1,4,0,0,2,3,1,2,1,1,1,0,2,0
"655","Zotu.0658",0,0,0,0,2,2,0,1,1,0,3,1,0,0,0,2,0,1,0,1,0,1,0,4,0,2,2,0,3,1,2,0,0,0,1,1,1,0,1,0,0,2
"656","Zotu.0659",0,1,0,0,0,1,0,2,2,2,1,0,1,1,1,4,2,0,0,4,2,0,0,0,1,2,2,0,1,1,1,1,3,0,1,0,2,2,2,0,0,1
"657","Zotu.0660",0,1,1,0,0,2,2,2,0,3,0,0,1,0,1,1,0,0,1,2,1,2,3,1,1,0,0,1,1,0,1,0,0,0,1,0,2,0,1,1,2,1
"658","Zotu.0661",1,0,1,0,1,0,1,1,2,1,0,1,0,2,2,0,2,1,0,0,2,0,0,1,1,0,0,0,2,2,0,2,3,1,3,0,0,1,1,3,0,2
"659","Zotu.0662",0,1,1,0,1,0,2,0,2,2,0,0,1,0,1,1,1,1,1,0,1,1,0,0,2,1,2,0,0,1,2,1,0,0,0,0,2,1,1,3,2,1
"660","Zotu.0663",0,3,1,0,0,0,1,1,2,2,1,0,1,0,0,2,1,0,2,1,0,2,1,1,0,3,0,1,2,1,3,0,1,2,2,0,2,1,1,1,1,3
"661","Zotu.0664",0,1,0,2,0,1,3,1,2,2,0,0,2,1,0,0,2,1,1,1,0,2,1,0,0,2,0,1,0,2,3,0,1,1,3,0,0,1,2,0,1,1
"662","Zotu.0665",0,0,1,2,1,2,0,1,2,1,0,1,0,0,0,1,3,2,1,0,0,2,0,4,0,1,0,1,1,1,2,2,0,2,4,2,0,0,0,0,0,3
"663","Zotu.0666",2,0,3,1,0,0,1,1,0,2,1,1,1,3,1,1,3,2,0,0,1,3,1,2,2,1,1,1,1,3,1,1,2,0,1,0,1,0,1,0,1,0
"664","Zotu.0667",0,2,2,1,1,1,0,1,1,3,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,3,1,0,0,1,0,2,0,1,1,0,2,0,1,2,1,1
"665","Zotu.0668",0,1,1,1,0,1,1,0,2,0,0,0,1,1,1,1,1,3,2,0,0,2,2,0,0,1,4,2,0,0,0,2,0,3,0,2,1,0,2,0,0,4
"666","Zotu.0669",0,1,1,1,2,1,3,2,0,2,1,1,1,2,2,1,0,1,0,2,2,1,1,0,1,3,0,0,1,1,1,2,2,0,2,1,1,0,2,0,1,0
"667","Zotu.0670",0,1,0,0,0,1,0,1,0,0,3,0,1,1,2,2,1,1,1,2,2,0,1,0,0,0,1,1,3,0,2,1,0,1,0,1,0,1,1,0,1,3
"668","Zotu.0671",0,0,1,0,0,2,0,0,0,0,1,1,0,1,0,0,4,4,0,1,1,2,0,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0,2,0
"669","Zotu.0672",0,2,1,1,0,1,1,1,3,0,2,1,1,0,1,1,1,0,0,0,2,0,1,1,0,0,0,0,1,1,0,1,0,1,1,3,1,0,0,5,1,3
"670","Zotu.0673",1,2,0,1,1,1,0,0,0,1,2,1,0,0,2,0,0,1,0,2,2,1,2,2,2,2,4,0,0,0,2,1,2,0,1,1,1,1,3,1,1,2
"671","Zotu.0674",2,1,0,0,0,1,1,1,4,1,2,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,2,3,0,2,1,0,0,0,0,2,3
"672","Zotu.0675",1,1,0,1,1,2,1,1,3,0,1,0,1,2,1,2,0,1,0,2,0,0,0,1,1,1,0,1,0,1,0,0,2,2,0,1,1,0,0,0,1,0
"673","Zotu.0676",1,0,1,0,1,3,1,1,1,4,2,0,1,0,2,0,2,1,2,0,0,0,0,0,1,1,1,1,0,1,1,1,0,5,0,0,0,0,1,3,0,1
"674","Zotu.0677",1,0,2,1,0,0,0,4,1,0,0,1,3,1,0,0,2,1,1,2,1,1,2,2,0,2,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,1
"675","Zotu.0678",0,2,1,1,0,3,1,0,1,1,1,3,1,1,1,1,2,3,2,0,1,1,2,0,0,0,1,3,1,0,0,0,1,0,3,1,0,0,0,0,1,0
"676","Zotu.0679",0,2,4,1,2,0,0,3,1,2,1,0,1,0,1,1,0,2,0,1,1,1,0,1,0,1,0,1,0,0,2,1,1,2,2,1,2,0,2,1,2,0
"677","Zotu.0680",1,0,1,0,1,0,2,1,0,2,1,0,2,3,0,0,1,2,2,3,0,1,1,2,0,0,0,0,0,2,0,3,4,2,2,1,1,1,0,2,2,2
"678","Zotu.0681",0,2,2,3,0,0,0,2,0,1,1,2,0,2,0,3,0,3,0,1,1,2,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,1
"679","Zotu.0682",3,0,1,0,0,1,1,0,4,1,1,0,0,3,3,1,0,0,1,0,1,2,2,1,0,1,1,0,1,0,0,3,3,2,1,0,0,1,3,0,2,1
"680","Zotu.0683",1,0,1,0,1,2,1,0,0,1,1,1,1,2,1,2,1,2,0,1,3,1,1,2,2,0,0,1,1,2,1,0,2,0,3,1,2,2,0,3,0,2
