"","Wargo.109865","Wargo.116774","Wargo.115690","Wargo.118369","Wargo.120662","Wargo.121296","Wargo.121409","Wargo.117349","Wargo.118370","Wargo.122639","Wargo.123197","Wargo.122114","Wargo.123305","Wargo.122637","Wargo.123704","Wargo.122410","Wargo.123009","Wargo.121585","Wargo.122412","Wargo.122724","Wargo.121891","Wargo.121892","Wargo.124418","Wargo.123986","Wargo.124419","Wargo.124421","Wargo.126747","Wargo.126802","Wargo.127261","Wargo.127262","Wargo.130510","Wargo.130511","Wargo.130801","Wargo.132265","Wargo.131512","Wargo.131300","Wargo.133270","Wargo.132266","Wargo.131541","Wargo.131302","Wargo.131051","Wargo.132538","Wargo.132268"
"OTU_484",0,43,0,0,0,0,1,0,8,0,0,0,0,0,113,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0
"OTU_7",0,196,97,1222,3247,32,4305,5019,14,6670,3017,0,622,1,6,24,237,445,663,0,433,1519,1462,2425,0,1393,3643,1607,2232,932,6811,6,138,1565,2898,14,733,1737,3593,2,859,1288,2444
"OTU_152",0,727,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_52",0,180,71,267,127,32,1306,118,0,2,0,0,0,0,183,15,52,0,9,0,0,16,284,0,1,350,9,0,1,12,84,19,0,169,0,1573,0,45,590,0,0,172,0
"OTU_865",0,7,0,0,1,0,3,0,9,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,3,0,7,0,0,1,0,3,2,1,4,0,1,0,0,0,0
"OTU_118",0,34,17,109,157,108,253,37,0,0,0,0,19,0,0,54,12,5,0,0,32,34,15,0,1,0,0,22,0,27,2,0,607,28,0,1,27,64,79,0,0,1,47
"OTU_9",0,806,39,855,7,14,13,9,12,7,405,0,12069,1644,2,2,566,0,0,3,0,8,689,0,5,0,9,1952,16003,676,4611,5907,7,0,0,0,0,6,3561,0,1,0,1
"OTU_606",0,40,16,43,196,0,137,0,1,0,0,0,0,0,2,0,7,0,0,0,0,0,95,16,0,0,265,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0
"OTU_105",0,613,2,529,347,0,553,227,2,0,300,0,78,19,458,13,0,105,28,0,107,17,0,0,0,0,527,169,122,76,435,0,2,0,10,0,0,0,57,0,0,0,49
"OTU_916",0,39,2,0,0,0,0,0,1,0,2,0,9,0,0,0,2,0,0,0,0,0,21,0,0,0,0,5,25,4,2,0,0,2,0,0,0,0,74,0,0,0,0
"OTU_814",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_197",0,2,2,23,56,0,0,29,127,96,59,0,115,17,15,17,0,23,10,0,29,7,22,5,0,0,141,68,55,44,33,8,1,57,65,0,1,7,29,3,88,0,65
"OTU_142",0,21,0,0,1,115,0,0,1,2,33,0,1,0,282,0,0,13,0,3,11,0,1,14,8,0,3,0,5,1,0,50,522,7,0,1,128,0,0,168,0,14,0
"OTU_68",0,7,0,4,5,87,1569,2,2,318,196,1,2,0,0,4,0,0,2,5,0,0,0,0,0,11,611,2,2,0,75,19,4,0,57,0,258,1,0,0,0,0,7
"OTU_301",0,5,0,0,0,21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,2,0,0,0,0,93,3,0,0
"OTU_206",0,21,2,4,23,0,60,8,36,1,11,0,17,0,0,0,0,9,5,0,9,8,0,17,0,0,32,14,6,6,32,54,0,0,103,0,34,0,4,0,0,0,0
"OTU_869",0,142,8,19,1,3,0,0,2,0,8,0,257,6,0,0,32,0,0,0,0,0,86,0,0,0,0,31,544,49,61,113,0,0,0,0,0,3,420,0,0,0,0
"OTU_396",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,39,5,68,0,0,0,0,0,0,0,3,0,0,0,0,7
"OTU_19",0,35,317,86,394,8,209,6,8324,0,0,0,158,0,574,178,77,0,0,0,0,199,214,4524,0,0,1,160,0,125,293,94,1311,1143,0,0,765,36,827,0,0,0,379
"OTU_1096",0,6,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0
"OTU_228",0,18,0,2,0,47,31,0,0,0,8,0,0,0,0,20,0,2,2,0,0,0,0,0,2,0,0,0,1,0,0,22,0,10,58,7,0,0,0,0,37,0,33
"OTU_1342",0,1,0,0,0,16,4,0,1,0,3,18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0
"OTU_17",0,3,0,0,0,5,2,4100,3817,0,0,0,58,0,0,33,0,11,3,0,72,114,33,14,0,1,885,118,7286,288,1,0,0,747,50,125,565,55,8,0,0,0,99
"OTU_669",0,2,10,8,0,0,0,54,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,152,0,0,26,0,24,2,0,0,0,0,0,0,0,0,1,0,0,0,45
"OTU_143",0,121,0,207,0,0,0,72,127,0,0,0,0,0,248,6,22,60,14,0,0,0,127,13,0,0,0,112,0,1,303,2,0,0,0,0,0,38,0,0,0,4,3
"OTU_39",0,34,0,0,12,30,0,2,32,1354,40,117,12,0,0,18,3,33,2,132,17,0,4,0,0,0,23,1,20,3,23,15,0,23,160,159,912,0,1,2737,772,30,0
"OTU_879",0,51,0,0,3,1,3,21,36,10,7,2,2,0,95,0,0,5,2,0,8,0,6,0,0,0,10,0,10,7,0,13,0,3,125,8,34,0,0,5,0,0,5
"OTU_782",0,9,0,6,0,0,0,0,1,0,4,7,285,5,0,2,1,0,0,0,0,0,3,0,0,0,1,64,52,0,82,290,0,1,0,3,0,0,20,0,0,0,0
"OTU_240",0,1,0,1,1,11,8,0,33,65,0,0,0,29,124,0,0,2,0,0,0,0,0,0,2,0,11,0,0,0,6,2,42,0,1,5,2,0,0,58,9,0,2
"OTU_92",0,70,20,205,140,5,144,65,4,95,0,0,70,0,5,9,0,0,14,0,6,13,161,4,17,171,516,265,73,57,1,1,0,0,0,0,0,83,233,0,0,2,170
"OTU_65",0,19,2,38,106,162,1,65,1128,0,22,0,23,133,559,82,2,122,4,0,34,6,50,6,43,0,3,133,40,50,61,169,430,11,489,107,14,0,5,446,0,0,2
"OTU_656",0,24,0,4,2,0,31,9,54,1,3,21,15,8,33,3,1,9,0,10,1,0,1,0,0,0,14,0,11,1,0,6,0,33,33,2,47,2,2,0,0,11,1
"OTU_641",0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,5,1,5,0,0,0,0
"OTU_100",0,16,0,3,21,52,35,6,86,238,48,55,5,318,497,13,6,2,0,213,4,2,85,3,1,0,72,8,27,45,5,15,1,11,141,16,1298,3,9,8,0,0,0
"OTU_707",0,22,0,0,0,21,28,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_199",0,16,0,0,23,0,0,21,52,0,11,1,10,0,0,11,4,0,1,2,0,9,0,0,5,0,107,14,12,0,15,11,0,16,0,0,33,0,47,0,49,0,18
"OTU_1352",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_876",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_579",0,3,0,0,13,0,3,5,0,5,2,0,0,0,6,1,2,1,0,0,0,0,12,0,0,0,7,4,5,5,0,0,0,20,3,0,0,1,19,804,0,2,17
"OTU_13",0,2,153,1184,25,82,31,312,1236,0,991,611,313,1,0,290,4,35,1,7153,3,261,418,4,2214,630,241,631,673,849,960,722,4967,2885,15,1235,2,2,5,0,7,1,7
"OTU_341",0,3,0,2,0,0,2,0,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,21,0,1,9,4,2,4,3,3,8,5,0,6,3,2,4,5,4,5,3
"OTU_491",0,2,1,9,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,0,4,5,4,4,2,3,5,6,2,1
"OTU_38",0,19,14,126,243,5,166,222,1,0,0,0,43,0,0,159,31,47,20,233,36,6,250,98,7,1033,213,468,42,101,557,218,0,379,44,1255,584,216,450,1,156,19,436
"OTU_540",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1416,0,0,0,0,0,0,0,0,0,0,0,14,3
"OTU_637",0,10,16,0,13,0,0,31,0,0,0,0,25,0,20,28,0,43,0,0,5,13,17,29,0,0,115,0,137,2,0,0,0,0,164,0,35,0,3,0,2,0,0
"OTU_78",0,10,0,32,1,1,221,39,50,0,12,0,5,52,96,1,1,9,2,125,8,1,92,6,0,0,227,79,9,11,34,0,205,458,0,24,12,91,109,750,0,0,24
"OTU_362",0,2,0,11,21,1,38,9,80,0,0,0,0,0,0,3,1,2,0,0,4,0,2,0,0,3,1,1,1,0,0,0,1,14,11,0,0,0,4,2,0,1,18
"OTU_91",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,517,0,0,0,0,0,0,0,0,1851,0,0,0,0,0,0,1
"OTU_496",0,10,0,0,1,0,0,0,0,0,1,0,21,5,0,0,0,0,0,0,0,0,3,0,0,0,0,3,88,3,10,9,0,0,0,0,0,0,25,0,0,0,0
"OTU_1276",0,5,20,25,0,4,14,0,30,0,2,7,4,8,6,0,3,4,0,0,0,2,3,254,4,0,0,0,0,4,0,0,21,2,46,2,1,4,17,2,3,66,5
"OTU_96",0,11,9,0,49,0,82,275,491,109,0,0,6,0,7,1,0,0,2,0,14,15,3,0,0,31,28,6,23,51,3,2,0,19,75,4,106,2,38,408,945,0,1
"OTU_506",0,8,0,0,0,7,0,0,3,2,3,4,1,1,11,1,0,1,0,0,1,0,3,4,0,0,7,0,2,0,0,6,41,0,1,3,19,0,0,38,0,2,0
"OTU_191",0,3,0,0,0,0,0,0,177,0,14,0,0,2,0,0,0,15,3,0,3,0,8,0,0,0,13,0,1,0,76,0,0,0,0,0,0,0,0,146,0,0,0
"OTU_443",0,9,0,0,4,0,0,1,10,0,0,0,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,1,1,1,3,0,0,0,9,2,12,0,1,0,0,0,3
"OTU_1336",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_861",0,5,0,0,0,0,0,6,10,1,0,17,1,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3,11,0,39,0,0,52,0,5,0
"OTU_322",0,8,3,0,4,0,0,0,9,0,0,0,0,0,0,3,0,3,1,0,2,2,8,0,0,0,36,7,0,3,0,0,0,3,25,2,15,4,0,0,0,0,1
"OTU_337",0,8,1,27,2,6,67,2,3,0,11,0,9,0,0,2,0,1,1,3,0,0,0,2,2,0,28,5,2,0,4,9,12,7,20,1,1,2,2,0,0,0,3
"OTU_495",0,5,0,3,1,10,2,10,5,28,0,0,0,0,0,0,7,0,0,3,0,0,3,15,0,4,4,0,0,102,0,0,26,0,0,0,0,0,0,2,11,4,0
"OTU_315",0,6,11,11,92,1,179,150,1,84,27,0,13,0,5,2,5,9,5,0,13,318,45,21,0,49,176,66,24,25,36,23,0,15,109,25,1,93,132,0,6,20,75
"OTU_1149",0,1,0,18,14,16,16,10,11,1,4,2,4,0,0,0,0,0,0,0,0,0,9,16,11,11,20,17,9,33,23,11,18,12,10,9,12,4,22,15,10,13,7
"OTU_251",0,9,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0,3,0,0,0,0,0,0,0,0,72,0,2,3,0,0,0,0,35,0,125,1,3,2,0,0,0
"OTU_1322",0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_116",0,14,2,34,0,21,0,1,8,0,0,0,61,9,9,0,13,1,11,0,0,1,10,128,0,0,68,105,2,0,14,4,736,0,0,0,0,3,96,326,1,151,142
"OTU_70",0,6,3,5,41,119,17,27,395,148,14,43,22,92,277,86,3,12,17,26,11,11,70,122,1,10,125,41,37,36,21,26,26,72,264,77,307,4,57,710,87,9,49
"OTU_130",0,11,4,65,226,0,0,4,3,0,0,0,110,0,0,2,14,62,2,0,0,33,92,166,0,2,0,130,31,8,95,0,0,0,8,173,0,28,102,0,0,0,42
"OTU_219",0,2,1,16,1,34,24,0,0,3,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,189,0,2,0,17,2,0,0,3,7,44,0,6,0,47,3,7
"OTU_110",0,1,0,0,1,12,1,3,6,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_140",0,2,9,8,99,0,0,30,87,0,0,0,6,28,1,23,1,22,8,0,4,22,16,69,0,0,285,83,51,29,0,5,0,10,46,2,49,11,112,90,298,0,0
"OTU_917",0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,1
"OTU_190",0,5,0,11,40,23,61,10,0,1,0,0,2,0,48,2,0,9,10,13,7,6,4,0,1,12,42,2,55,34,33,31,0,36,97,23,0,1,1,0,43,0,18
"OTU_413",0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,13,0,2,0,0,11,0,15,0,0,0,0,0,0,13,0,0
"OTU_155",0,9,3,6,28,94,0,12,36,33,6,14,16,1,0,3,3,4,7,0,14,0,6,1,0,0,80,24,2,12,73,5,0,0,22,18,134,8,20,112,50,0,14
"OTU_714",0,5,0,0,0,6,103,20,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,19,0,0,1,0,0
"OTU_1002",0,1,0,0,0,0,116,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,384,0,3,0,0,0,24,0,0,0,0
"OTU_1375",0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_584",0,11,0,2,7,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,13,1,0,0,1,1,0,0,3,0,12,0,0,0,0,0,0,0
"OTU_772",0,3,4,2,9,2,0,0,3,0,1,0,0,0,0,2,4,1,0,0,0,0,7,0,4,3,3,4,14,0,10,2,0,5,0,0,0,0,23,0,0,0,0
"OTU_381",0,1,0,24,7,0,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,6,24,0,0,0,28
"OTU_598",0,1,14,8,0,0,0,7,0,0,14,0,0,0,2,33,0,37,0,0,3,7,15,0,0,0,67,0,61,214,0,1,0,0,134,0,48,21,155,0,0,0,0
"OTU_284",0,1,0,0,65,0,4,0,1,0,4,2,0,7,0,0,0,0,3,0,0,0,0,1,2,1,27,19,11,1,0,1,68,0,0,0,1,12,53,9,0,0,58
"OTU_274",0,6,0,0,0,7,14,0,13,2,10,48,0,6,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,18,14,3,0,6,0,0,79,3,2,0
"OTU_1104",0,1,2,1,21,0,0,0,8,0,0,1,8,0,0,1,2,0,0,0,0,0,19,0,87,94,5,0,10,7,3,16,0,20,0,0,0,0,10,0,6,0,2
"OTU_1008",0,3,50,1,11,3,0,3,10,0,13,22,2,0,0,10,17,2,8,0,3,0,55,0,188,121,9,6,2,60,10,13,0,121,0,1,0,0,57,0,78,0,38
"OTU_51",0,4,55,135,0,26,0,2,0,27,0,0,0,0,72,0,26,0,0,74,0,296,321,0,0,0,0,2,2,0,1,0,0,0,0,0,0,8,4092,0,0,0,0
"OTU_88",0,2,0,1,2,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,134,9,1,11,5,0,1,0,58,0,1998,0,11,0,0,0,0
"OTU_343",0,3,0,0,2,1,5,2,0,0,0,0,0,9,23,2,0,0,1,0,0,10,4,0,0,0,33,1,0,2,0,1,0,14,4,2,27,0,4,0,0,0,0
"OTU_1376",0,4,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
"OTU_1196",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"OTU_377",0,1,0,1,0,0,0,2,14,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,32,0,1,3,2,1,0,0,0,3,0,0,4,0,0,0,2
"OTU_1454",0,1,0,0,10,0,0,25,2,0,27,0,0,0,1,3,0,2,0,2,0,0,4,0,0,0,18,0,0,2,0,0,0,4,1,0,22,2,3,37,0,0,4
"OTU_769",0,2,0,0,0,0,99,4,28,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,22,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1369",0,2,14,0,0,0,7,0,69,0,0,0,0,0,0,0,0,0,0,15,0,0,50,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1433",0,3,2,0,4,1,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,2,0,4,0,0,7,0,5,1,1,1,1,0,6,4,0,0,7,0,0,0,0
"OTU_258",0,2,3,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,51,0,0,0,0,209
"OTU_1301",0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,4,2,0,1,0,0,0,6
"OTU_218",0,3,0,1,8,6,1,0,6,0,4,16,8,3,0,0,0,0,0,3,0,0,0,49,0,1,17,0,0,0,0,0,81,2,6,7,94,0,1,1,0,0,3
"OTU_72",0,0,268,1589,0,0,0,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,79,666,0,0,0,0
"OTU_30",0,0,134,144,492,19,7,9,588,0,0,0,0,0,0,111,0,85,148,0,0,78,331,118,0,309,1403,493,0,0,1211,0,1,0,0,425,0,43,0,0,1393,0,569
"OTU_87",0,0,2181,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,84,0,0,0,0,0,0,0,70,0,0,0,0,0
"OTU_203",0,0,80,0,0,0,0,141,0,0,0,0,0,0,0,23,0,0,0,0,0,38,2,0,0,0,0,0,0,229,0,0,0,0,0,0,0,15,0,0,0,0,0
"OTU_6",0,0,673,3,2,57,2,4,1,0,0,0,697,0,0,0,0,4,5,0,0,0,96,1,0,1,236,1,0,0,0,58,11,1,5,0,31359,0,1,0,1,1,0
"OTU_321",0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,17,6,0,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1404",0,0,2,9,6,2,11,5,4,1,2,1,3,0,0,0,0,0,0,0,0,0,4,3,5,5,10,2,13,17,13,8,4,2,8,4,6,0,6,6,6,6,3
"OTU_124",0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,869,0,0,0,82,0,0
"OTU_354",0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69,12,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTU_32",0,0,28,0,157,0,0,1784,2,0,0,0,0,0,15,341,0,1,0,0,0,343,172,24,0,0,4639,0,0,1037,0,0,0,0,61,0,0,656,0,0,0,0,216
"OTU_139",0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,621,0,0,0,0,349
"OTU_180",0,0,102,99,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,4,0,0,535,24,0,13,0,0,0,0,0,0,0,20,0,0,0,0,121
"OTU_1321",0,0,13,3,3,0,6,22,5,0,18,0,14,0,0,1,0,1,0,1,0,0,10,0,97,38,0,0,3,1,5,15,0,80,2,2,0,0,0,0,0,0,1
"OTU_64",0,0,97,47,561,6,4,26,10,0,0,5,86,0,161,16,1,12,6,0,57,124,918,3039,1,0,2,59,17,1017,0,0,1,34,463,15,0,470,179,0,0,0,38
"OTU_205",0,0,4,47,21,0,23,23,8,0,85,0,12,0,0,2,0,0,7,0,4,5,16,10,0,4,17,144,42,0,0,60,0,47,11,0,0,18,64,0,30,0,0
"OTU_602",0,0,243,266,234,9,120,435,2,0,63,0,3,0,65,18,14,3,59,0,0,43,89,130,0,66,1700,324,2,215,99,782,0,225,91,3201,0,1880,581,1,0,10,7474
"OTU_858",0,0,2,0,3,4,0,1,168,0,45,45,3,0,0,0,16,1,1,0,8,0,162,0,2,5,44,0,72,10,0,1,0,1,0,930,187,0,0,0,0,0,4
"OTU_1347",0,0,1,0,35,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,3,0,1,0,0,0,0,0,0,0,57,26,0,1,0,9,0,33,0,33
"OTU_367",0,0,4,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_179",0,0,511,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_145",0,0,9,441,94,0,3,29,1,0,69,0,0,0,0,18,10,26,0,0,12,2,9,9,0,13,934,25,0,31,1,0,0,0,2,0,28,78,121,0,0,0,402
"OTU_708",0,0,29,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_148",0,0,370,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_620",0,0,197,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
"OTU_698",0,0,32,238,0,3,0,255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,405
"OTU_82",0,0,76,0,0,3,0,1,2,0,0,0,0,0,0,298,0,0,0,0,0,78,389,56,0,0,0,0,0,2292,0,0,0,0,0,0,0,397,0,0,0,0,0
"OTU_217",0,0,7,0,31,2,0,16,115,0,0,0,8,0,24,10,0,13,2,0,8,4,15,0,0,0,3,0,3,152,50,0,0,0,58,12,0,6,0,0,0,0,0
"OTU_178",0,0,2,2,13,0,114,3,117,0,30,0,11,0,0,0,1,3,0,0,1,2,24,0,0,48,5,7,24,19,30,11,0,4,17,0,15,2,71,123,0,0,0
"OTU_173",0,0,100,54,0,0,4,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,40,212,0,0,110,0,0,0,0,32,116,0,356,0,29
"OTU_827",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_370",0,0,22,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,12,0,0,0,0,5,0,0,28,0,0,0,0,0
"OTU_427",0,0,4,0,0,0,0,0,23,3,0,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"OTU_80",0,0,45,0,0,0,0,41,0,0,8,0,0,0,0,0,0,0,0,0,0,43,0,125,0,1,568,0,0,0,0,38,0,2,59,0,0,33,1348,0,0,0,0
"OTU_1213",0,0,6,1,1,0,0,7,1,0,0,0,0,0,0,0,0,3,25,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_77",0,0,2,0,338,0,2147,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,170,0,12,0,0,47,0,0,0,0,0,0,0,0,41,0,0,0,0
"OTU_346",0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,37,0,0,0,0
"OTU_114",0,0,60,67,0,0,0,48,266,0,251,0,23,0,0,27,4,0,31,1,0,26,0,0,0,0,210,258,0,33,159,0,331,0,0,0,0,54,150,0,0,0,223
"OTU_213",0,0,104,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0
"OTU_238",0,0,1,0,19,0,0,140,0,0,0,0,0,0,18,6,0,0,0,0,0,5,3,6,0,0,22,0,0,16,0,0,0,16,11,0,19,7,9,0,7,0,0
"OTU_176",0,0,37,0,0,0,3,1,0,5,0,0,32,2,6,2,1,0,3,0,0,0,26,5,1,3,366,159,7,1,3,0,87,0,0,1,0,5,36,28,0,1,3
"OTU_47",0,0,26,61,51,0,3,1119,1,0,1,0,1,0,0,0,0,0,0,0,122,247,389,0,0,0,119,0,0,161,0,0,0,0,2804,0,0,194,394,0,0,0,7
"OTU_11",0,0,42,1610,1560,6,9009,729,1,0,1212,1174,223,0,0,28,385,221,428,0,223,1,0,84,1184,43,24,1206,487,68,3108,2453,1,18,41,0,0,14,671,0,0,0,1147
"OTU_319",0,0,136,0,156,0,0,1531,1,0,1,1,1,0,0,0,1,0,0,0,0,11,137,4,8,11,93,79,0,10,0,0,0,5,3,5,3,2,6,1,2,1,1
"OTU_56",0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1738,0,1,1,4,1,0,1918,0,0,0,97,1,0,482,0,0
"OTU_239",0,0,20,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,0,0,0,0,0,0,40,0,0,0,0,0,0,0,200,0,0,0,0,0
"OTU_159",0,0,17,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,243,0,10,0,0,581,0,0,0
"OTU_1310",0,0,12,250,105,0,0,71,0,0,0,0,11,0,0,2,1,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,108,0,0,0,43,49,0,0,0,149
"OTU_89",0,0,6,12,0,0,0,0,2,0,158,0,0,0,0,0,0,12,0,0,40,0,0,53,0,0,0,0,0,0,142,404,0,0,0,1307,0,0,0,0,0,0,0
